,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count,token,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11,2020-10-20 23:59:54+00:00,,en,,,58282,210990,"American Libertarian #MAGA. Same Name: Gab, Clouthub, Parler (RIP), Hive.","Virginia, USA",383313838,2011-10-01 17:12:15+00:00,False,False,,190,9395,False,,10584,False,mmmmmmmmeow 🇺🇸,,mmmmmmmeowwww,False,022330,http://pbs.twimg.com/profile_images/1307534926703669248/ikpiGQ-b_normal.jpg,,1318703522796494848,0,False,Twitter for iPhone,False,7224,"['BREAKING', 'Hearing', 'Bevan', 'Cooney', 'shared', 'Biden', 'related', 'emails', 'us', 'REMOvED', 'federal']",BREAKING,Hearing,Bevan,Cooney,shared,Biden,related,emails,us,REMOvED,federal,,,,,,,,,,,,,
12,2020-10-20 23:59:54+00:00,,en,,,130949,54279,,"Largo, Florida",2766788269,2014-08-25 15:41:40+00:00,False,False,,2,283,False,,2644,True,Bill Edwards,,b111edwards,False,C0DEED,http://pbs.twimg.com/profile_images/1239251530466852864/97bM6qZ5_normal.jpg,,1318703522733559808,0,False,Twitter for Android,False,78,"['Baffled', 'closing', 'message', 'cant', 'give', 'people', 'businesses', 'cash', 'were', 'div']",Baffled,closing,message,cant,give,people,businesses,cash,were,div,,,,,,,,,,,,,,
13,2020-10-20 23:59:54+00:00,,en,,,77401,76112,,,132631659,2010-04-13 19:28:55+00:00,False,False,,1,299,True,,690,True,Sherry Gremillion,,Gdwinc,False,C0DEED,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1318703522842542081,0,False,Twitter for iPhone,False,0,"['Nope', 'Squarely', 'Obamas', 'years', 'Worst', 'President', 'ever']",Nope,Squarely,Obamas,years,Worst,President,ever,,,,,,,,,,,,,,,,,
14,2020-10-20 23:59:54+00:00,,en,,,14975,5071,she/her/hers | Fan of saying “Yeet”| Levi Stan Account | Anti-Rask | ⊶𝒫𝒶𝓉𝓇𝒾𝑜𝓉𝓈⊶𝔅𝔯𝔲𝔦𝔫𝔰⊶ℂ𝕖𝕝𝕥𝕚𝕔𝕤⊶ ⊶𝚁𝚎𝚍𝚂𝚘𝚡⊶𝙉𝘾 𝘿𝙞𝙣𝙤𝙨⊶ꃅꍏꈤꌗꃅꀤꈤ ꓄ꀤꁅꍟꋪꌗ⊶,"Onett, Eagleland",613059629,2012-06-20 02:33:41+00:00,False,False,,2,149,False,,967,False,ミ★𝓒𝓱𝓵𝓸𝓮 𝓐𝓾𝓭𝓻𝓪★彡,,clohansa,False,C0DEED,http://pbs.twimg.com/profile_images/1440442806871343118/P1QAH_Oh_normal.jpg,,1318703522859282432,0,False,Twitter Web App,False,115596,"['Biden', 'If', 'make', '400k', 'year', 'taxes', 'higher', 'Guys', 'high', 'school', 'make', '35K', 'year']",Biden,If,make,400k,year,taxes,higher,Guys,high,school,make,35K,year,,,,,,,,,,,
15,2020-10-20 23:59:54+00:00,,en,,,59120,93512,,,3327340341,2015-06-15 16:26:24+00:00,False,False,,13,1561,False,,4912,True,GOPMan,,GOPMan1234,False,C0DEED,http://pbs.twimg.com/profile_images/740010328465891328/331zhMTI_normal.jpg,,1318703522959982594,0,False,Twitter for Android,False,4527,"['Its', 'election', 'clearly', 'anyone', 'win', 'I', 'liberal', 'downtown', 'Los', 'Angeles', 'seeing', 'people', 'walk', 'around']",Its,election,clearly,anyone,win,I,liberal,downtown,Los,Angeles,seeing,people,walk,around,,,,,,,,,,
16,2020-10-20 23:59:54+00:00,,en,,,385450,316787,"Tolerant human, mom of 3, living my best life in paradise on Martha’s Vineyard.","Oak Bluffs, MA",473185117,2012-01-24 18:34:00+00:00,False,False,,5,812,False,,1508,True,celine m.,,expatfrommass,True,C0DEED,http://pbs.twimg.com/profile_images/428684360657547264/MbVUhi_y_normal.jpeg,,1318703522863550470,0,False,Twitter for iPhone,False,352,"['Thank', 'you', 'Stephen', 'Miller', 'Thank', 'you', 'Stephen', 'Bannon', 'Well', 'done', 'gentlemen']",Thank,you,Stephen,Miller,Thank,you,Stephen,Bannon,Well,done,gentlemen,,,,,,,,,,,,,
17,2020-10-20 23:59:54+00:00,,en,,,18261,13729,47 yrs old - have experience suicide with brother and mother a little over a month apart. I am a fighter and Will never give up - not worth it,,2533555422,2014-05-29 22:53:07+00:00,False,False,,0,113,False,,578,True,Casey or KC,,moonshine7268,False,C0DEED,http://pbs.twimg.com/profile_images/1349025276840312838/YDc_hht-_normal.jpg,,1318703522947399680,0,False,Twitter for iPhone,False,0,"['If', 'true', 'What', 'Clintons', 'Obummers', 'Bidens', 'Moron']",If,true,What,Clintons,Obummers,Bidens,Moron,,,,,,,,,,,,,,,,,
18,2020-10-20 23:59:54+00:00,,en,,,140698,85624,"Somewhere in the middle of left and center - Paid troll by the DNC. (kidding) I post news+ ridiculous takes. Oh, 🇮🇱",Eating Brunch ,1254642885422546946,2020-04-27 05:25:59+00:00,False,False,,56,13009,False,,6652,True,On the phone,,BidenHarrisBro,False,F5F8FA,http://pbs.twimg.com/profile_images/1444443418856329217/P2boMCVv_normal.jpg,,1318703523035443201,35,False,Twitter for iPhone,False,12,"['Karen', 'Bass', 'pointed', 'Trump', 'zero', 'surrogates', 'dont', 'last', 'name', 'Trump']",Karen,Bass,pointed,Trump,zero,surrogates,dont,last,name,Trump,,,,,,,,,,,,,,
19,2020-10-20 23:59:54+00:00,,en,,,288032,137739,#StayTheFuckHome #WashYourHands #Get Vaccinated 🏳️‍⚧️🏳️‍🌈,"Ohio, USA",834600333162713088,2017-02-23 03:06:40+00:00,False,False,,2,3864,False,,4231,True,MI girl in OH World,,StacyDolsen,False,F5F8FA,http://pbs.twimg.com/profile_images/1335699436874424322/WXY1cbiy_normal.jpg,,1318703522997800961,0,False,Twitter for iPad,False,450,"['This', 'gettin', 'good']",This,gettin,good,,,,,,,,,,,,,,,,,,,,,
20,2020-10-20 23:59:54+00:00,,en,,,17,39979,"Life, Liberty & Pursuit of Happiness | Please try and fact check me 🙃",,3015927613,2015-02-09 22:12:20+00:00,False,False,,1,42,False,,469,True,.,,invincible__007,False,C0DEED,http://pbs.twimg.com/profile_images/1238464038356635649/cvx3bTgo_normal.jpg,,1318703523010400256,0,False,Twitter for iPhone,False,1455,"['Joe', 'Biden', 'hiding', 'basement', 'today', '13', 'days', 'election', 'day', 'refuses', 'answer', 'questions', 'hi']",Joe,Biden,hiding,basement,today,13,days,election,day,refuses,answer,questions,hi,,,,,,,,,,,
21,2020-10-20 23:59:54+00:00,,en,,,14323,45761,"Mom, emergency physician, secular humanist, Proud Democrat ready to get to work for 2022, she/her #PostcardsToVoters writer, #BLM Be a #LivingKidneyDonor","Albuquerque, NM",799327385774456832,2016-11-17 19:04:34+00:00,False,False,,6,8886,False,,9661,True,😷End the Filibuster to Get Sh!t Done😷,,EMSalasME,True,F5F8FA,http://pbs.twimg.com/profile_images/1398403808846225412/vtPfoi-u_normal.jpg,,1318703522876108801,0,False,Twitter for iPhone,False,2636,"['Does', 'election', 'mean', 'enough', 'take', 'stand', 'It', 'me', 'I', 'hope', 'you', 'Stand', 'ht']",Does,election,mean,enough,take,stand,It,me,I,hope,you,Stand,ht,,,,,,,,,,,
22,2020-10-20 23:59:55+00:00,,en,,,122814,63557,,,476982649,2012-01-28 18:14:39+00:00,False,False,,1,227,False,,2382,False,Pat,,historia80,False,C6E2EE,http://pbs.twimg.com/profile_images/1449900259379867648/w-0S8hnl_normal.jpg,,1318703523882618881,0,False,Twitter for iPhone,False,61164,"['Listening', 'scientists', 'bad', 'thing', 'I', 'cant', 'believe', 'said']",Listening,scientists,bad,thing,I,cant,believe,said,,,,,,,,,,,,,,,,
23,2020-10-20 23:59:55+00:00,,en,,,4677,2491,,,214149855,2010-11-10 17:57:56+00:00,False,False,,0,15,False,,155,True,Vernon,,tatero924,False,C0DEED,http://pbs.twimg.com/profile_images/1114144462467420160/y-2FVS57_normal.png,,1318703525631807492,0,False,Twitter Web App,False,300,"['There', 'people', 'quite', 'intentionally', 'want', 'vote', 'Why', 'that', 'Because', 'content', 'with']",There,people,quite,intentionally,want,vote,Why,that,Because,content,with,,,,,,,,,,,,,
24,2020-10-20 23:59:55+00:00,,en,,,107325,219665,"Injustice anywhere is a threat to justice everywhere. -- Martin Luther King, Jr. -- Letter from Birmingham Jail, 16 April 1963 #VoteBlue",Eastern North Carolina,97792916,2009-12-19 01:49:44+00:00,False,False,,99,3505,False,,3455,False,LiberalFish,,akemor,True,8B542B,http://pbs.twimg.com/profile_images/920057868136603649/FNe8WReK_normal.jpg,,1318703526269386752,0,False,Twitter for iPhone,False,177,"['Trump', 'Records', 'Shed', 'New', 'Light', 'Chinese', 'Business', 'Pursuits', 'As', 'raises', 'questions', 'opponents', 'standing', 'C']",Trump,Records,Shed,New,Light,Chinese,Business,Pursuits,As,raises,questions,opponents,standing,C,,,,,,,,,,
25,2020-10-20 23:59:55+00:00,,en,,,28061,14191,From Seinfeld To Somalia,"Los Angeles, CA",918876789811830784,2017-10-13 16:31:13+00:00,True,False,https://t.co/MsjTfIa1N1,104,20650,False,,888,True,Larry Charles,,larrycharlesism,False,F5F8FA,http://pbs.twimg.com/profile_images/1337870596894420993/1QYuUeES_normal.jpg,,1318703526235709440,11,False,Twitter for iPad,False,0,"['Youve', 'done', 'shit', 'dont', 'give', 'shit', 'know', 'it']",Youve,done,shit,dont,give,shit,know,it,,,,,,,,,,,,,,,,
26,2020-10-20 23:59:55+00:00,,en,,,213326,58862,,,562964826,2012-04-25 13:30:59+00:00,False,False,,12,534,False,,613,True,Vijay Gupta,,Veej_1,False,C0DEED,http://pbs.twimg.com/profile_images/1053490592313982977/qJVWxpTU_normal.jpg,,1318703526319710208,0,False,Twitter for iPhone,False,12332,"['Um', 'In', '2017', 'Trump', 'Intl', 'Hotels', 'Management', '', 'company', 'Chinese', 'bank', 'account', '', 'reported', 'unusual', '17m', 'revenue', 'spike']",Um,In,2017,Trump,Intl,Hotels,Management,,company,Chinese,bank,account,,reported,unusual,17m,revenue,spike,,,,,,
27,2020-10-20 23:59:55+00:00,,en,,,408,857383,"Educación en Internet y tecnología para reducir la brecha digital. Analítica y bigdata. Learn Financial markets, marketing online.",Internet,300045480,2011-05-17 03:16:45+00:00,False,False,https://t.co/kBb10eibND,355,934,False,,1144,False,Libre Informacion,,Libreinfo,False,022330,http://pbs.twimg.com/profile_images/1241302638743994368/4Awyp6C7_normal.jpg,,1318703525870804992,0,False,Libre Información,False,0,"['Market', 'Extra', 'Why', 'stockmarket', 'investors', 'starting', 'focus', 'Bidens', 'narrowing', 'lead', 'Trump']",Market,Extra,Why,stockmarket,investors,starting,focus,Bidens,narrowing,lead,Trump,,,,,,,,,,,,,
28,2020-10-20 23:59:55+00:00,,en,,,33019,3306,,,613968320,2012-06-21 03:00:44+00:00,False,False,,0,31,False,,373,True,Peggy Pidgeon.,,sometimesawit,False,C0DEED,http://pbs.twimg.com/profile_images/1345079514246893570/sshRO3ut_normal.jpg,,1318703526315479043,0,False,Twitter for iPhone,False,17491,"['Breaking', 'New', 'NYT', 'Trump', 'taxes', 'report', 'Trumps', 'tax', 'records', 'show', 'Trump', 'maintains', 'previously', 'unknown', 'bank', 'account', 'in']",Breaking,New,NYT,Trump,taxes,report,Trumps,tax,records,show,Trump,maintains,previously,unknown,bank,account,in,,,,,,,
29,2020-10-20 23:59:55+00:00,,en,,,30256,4211,don’t tread on me.,NY,1268047260962652167,2020-06-03 05:10:10+00:00,False,False,,0,176,False,,440,True,STOP VACCINE PASSPORTS.,,colezspace,False,F5F8FA,http://pbs.twimg.com/profile_images/1420589881089269762/g-gzGvmS_normal.jpg,,1318703526374199297,0,False,Twitter for iPhone,False,22090,"['If', 'FBI', 'laptop', 'along', 'let', 'Nancy', 'Pelosi', 'Democrats', 'impeach', 'litera']",If,FBI,laptop,along,let,Nancy,Pelosi,Democrats,impeach,litera,,,,,,,,,,,,,,
30,2020-10-20 23:59:55+00:00,,en,,,8333,35201,"Progressive, feminist",Northern Virginia,2857247324,2014-10-15 22:40:29+00:00,False,False,,26,312,False,,1132,True,Susan Kniss,,susankniss,False,C0DEED,http://pbs.twimg.com/profile_images/615598787780808705/bGoNcHVN_normal.jpg,,1318703526399348737,0,False,Twitter for iPad,False,12332,"['Um', 'In', '2017', 'Trump', 'Intl', 'Hotels', 'Management', '', 'company', 'Chinese', 'bank', 'account', '', 'reported', 'unusual', '17m', 'revenue', 'spike']",Um,In,2017,Trump,Intl,Hotels,Management,,company,Chinese,bank,account,,reported,unusual,17m,revenue,spike,,,,,,
31,2020-10-20 23:59:55+00:00,,en,,,169746,3131,"My Facebook feed is full of cat pics, my Twitter feed is full of politics. You have been warned....choose wisely. ;) Won't respond to random DMs.",,824399119116431361,2017-01-25 23:30:41+00:00,False,False,,0,665,False,,920,False,Leslie Gallagher,,leslierg88,False,000000,http://pbs.twimg.com/profile_images/1379633997450387458/F7xundFe_normal.jpg,,1318703526378303488,1,False,Twitter for Android,False,0,"['Joe', 'plan', 'that']",Joe,plan,that,,,,,,,,,,,,,,,,,,,,,
32,2020-10-20 23:59:55+00:00,,en,,,43923,25635,"Best Life: God, Family, Friends, Peace, Love & Access to a Beach & Waves......and a great sunset!","Fort Myers, FL",2875166883,2014-11-13 15:30:57+00:00,False,False,,0,416,False,,1049,True,JP-Beach,,jpgembeach,True,C0DEED,http://pbs.twimg.com/profile_images/532923751361675265/IoMz5Q_N_normal.jpeg,,1318703526470668288,0,False,Twitter for iPad,False,53,"['I', 'vote', '2016', 'due', 'lack', 'knowledge', 'believing', 'lies', 'Once', 'I', 'woke', 'truth', 'I']",I,vote,2016,due,lack,knowledge,believing,lies,Once,I,woke,truth,I,,,,,,,,,,,
33,2020-10-20 23:59:55+00:00,,en,,,13955,26614,"Hokey religions and ancient weapons are no match for a good blaster at your side.

I don't respond to stupid.",Tatooine,816038900523155456,2017-01-02 21:50:09+00:00,False,False,,0,130,False,,500,True,Livin in 🤪 times!,,IAmMosEisley,False,F5F8FA,http://pbs.twimg.com/profile_images/1039005186717442049/nmwzvUv1_normal.jpg,,1318703526478901248,33,False,Twitter Web App,False,2,"['Its', 'fabricated', 'Not', 'even', 'Fox', 'News', 'would', 'touch', 'it']",Its,fabricated,Not,even,Fox,News,would,touch,it,,,,,,,,,,,,,,,
34,2020-10-20 23:59:55+00:00,,en,,,93068,344274,We just need to be patient because we cannot recover over night. GOOD TROUBLE. Get Out and Vote 2022 for Congress...Prez Biden VP Harris. I will block u👍🏾,,825429445402099713,2017-01-28 19:44:50+00:00,False,False,,3,229,True,,3142,True,Mary Jane 😊🤗 😷🌊🌊,,MaryJan62216031,False,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1318703526407790592,0,False,Twitter for iPad,False,458,"['A', 'new', '60', 'Minutes', 'Sunday', '730pm', 'ET7pm', 'PT']",A,new,60,Minutes,Sunday,730pm,ET7pm,PT,,,,,,,,,,,,,,,,
35,2020-10-20 23:59:55+00:00,,en,"Place(_api=<tweepy.api.API object at 0x7fed580e3590>, id='03834989f9b9479f', url='https://api.twitter.com/1.1/geo/id/03834989f9b9479f.json', place_type='city', name='Parkersburg', full_name='Parkersburg, WV', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fed580e3590>, type='Polygon', coordinates=[[[-81.580862, 39.2031728], [-81.502547, 39.2031728], [-81.502547, 39.3093247], [-81.580862, 39.3093247]]]), attributes={})",,152949,38251,,"Parkersburg, West Virginia",242993758,2011-01-26 02:03:58+00:00,False,False,https://t.co/MPKNyyHTtk,22,1472,False,,1491,True,Walt Auvil,,WaltAuvil,True,C0DEED,http://pbs.twimg.com/profile_images/1363086598443827201/QCNGzq7v_normal.jpg,,1318703526344785920,1,False,Twitter for Android,False,0,"['Report', 'Trump', 'prematurely', 'ended', '60', 'Minutes', 'interview', 'return', '', 'Business', 'Insider', 'I']",Report,Trump,prematurely,ended,60,Minutes,interview,return,,Business,Insider,I,,,,,,,,,,,,
36,2020-10-20 23:59:55+00:00,,en,,,91840,9130,"Fully Vaxxed
#VoteBlue
#BidenHarris
#MorethanThoughtsAndPreayers",,1358622781,2013-04-17 05:09:44+00:00,False,False,,1,112,False,,816,True,🌊Ms. Stockman🌊,,MsStockman,True,C0DEED,http://pbs.twimg.com/profile_images/835702800000528384/B2WLx-5E_normal.jpg,,1318703526642671622,0,False,Twitter for Android,False,2680,"['BREAKING', 'Trumps', 'TaxReturns', 'show', 'Trump', 'previously', 'unknown', 'bank', 'account', 'China', 'Trumps', 'Chinese', 'account']",BREAKING,Trumps,TaxReturns,show,Trump,previously,unknown,bank,account,China,Trumps,Chinese,account,,,,,,,,,,,
37,2020-10-20 23:59:55+00:00,,en,,,60835,82138,"gratitud, respeto y valor.


abogdo, ejercicio libre. profesor en derecho administrativo y Mercantil",Venezuela,154950177,2010-06-12 17:38:15+00:00,False,False,,0,254,False,,501,True,nidia moreno,,nidiamorenoc,True,C0DEED,http://pbs.twimg.com/profile_images/1285690766778667010/rwcHOX55_normal.jpg,,1318703526705594373,0,False,Twitter for Android,False,22090,"['If', 'FBI', 'laptop', 'along', 'let', 'Nancy', 'Pelosi', 'Democrats', 'impeach', 'litera']",If,FBI,laptop,along,let,Nancy,Pelosi,Democrats,impeach,litera,,,,,,,,,,,,,,
38,2020-10-20 23:59:55+00:00,,en,,,50318,59031,,,3796483337,2015-09-27 20:40:51+00:00,False,False,,2,783,False,,708,True,Bitchesa,,wanakopake,True,C0DEED,http://pbs.twimg.com/profile_images/1446638259581358087/lKdPozz6_normal.jpg,,1318703526713884675,0,False,Twitter for iPhone,False,3909,"['Dont', 'impeach', 'people', 'stuff']",Dont,impeach,people,stuff,,,,,,,,,,,,,,,,,,,,
39,2020-10-20 23:59:55+00:00,,en,,,147942,79322,"Regular person.  Sane patriot.  Believer in love, in truth, in compassion, in humanity, in dogs, in free speech, journalists and activists.","Pleasant Hill, CA",750478372430417920,2016-07-05 23:56:02+00:00,False,False,,8,213,False,,754,True,Jean,,kuszmahal,True,F5F8FA,http://pbs.twimg.com/profile_images/752694396219371520/YRm1kaha_normal.jpg,,1318703526671908867,0,False,Twitter for iPhone,False,6257,"['Happy', 'birthday', 'Hope', 'showered', 'love', 'special', 'day', 'The', 'best', 'way', 'celebrate', 'Kamala', 'is']",Happy,birthday,Hope,showered,love,special,day,The,best,way,celebrate,Kamala,is,,,,,,,,,,,
40,2020-10-20 23:59:55+00:00,,en,,,4649,11496,curiouser and curiouser,USA,22641780,2009-03-03 16:30:58+00:00,False,False,,17,132,False,,28,False,Brian Savin,,siwanoy,True,000000,http://pbs.twimg.com/profile_images/692518811644219393/3ZC3F67c_normal.jpg,,1318703526781063169,0,False,Twitter for iPhone,False,7,"['6', 'OR', 'Welker', 'says', 'Well', 'I', 'havent', 'seen', 'evidence', 'Trump', 'exclaim', 'its', 'Internet', 'amp', 'what', 'k']",6,OR,Welker,says,Well,I,havent,seen,evidence,Trump,exclaim,its,Internet,amp,what,k,,,,,,,,
41,2020-10-20 23:59:55+00:00,,en,,,87873,159355,"I’m not as good as I once was, but this once I’m as good as I ever was .  Trump is my President .",Northeast Ohio. U.S.A.,6124022,2007-05-18 01:02:39+00:00,False,False,,67,12954,False,,11369,False,Jim M,,ottomul,True,9AE4E8,http://pbs.twimg.com/profile_images/1458531436261220362/Envi9vfS_normal.jpg,,1318703526697181193,0,False,Twitter for iPhone,False,2,"['Done', 'Voted', 'Trump', 'last', 'week', 'TRUMP2020ToSaveAmerica']",Done,Voted,Trump,last,week,TRUMP2020ToSaveAmerica,,,,,,,,,,,,,,,,,,
43,2020-10-20 23:59:55+00:00,,en,,,178230,13191,,,728782405293768704,2016-05-07 03:04:00+00:00,False,False,,2,259,False,,89,False,V,,GomezH02,False,000000,http://pbs.twimg.com/profile_images/884246864329134080/T87mJ68c_normal.jpg,,1318703526810451968,0,False,Twitter for Android,False,30040,"['Breaking', 'NBC', 'Lawyers', 'say', 'cant', 'find', 'parents', '545', 'migrant', 'children', 'separated', 'Trump', 'administration', 'http']",Breaking,NBC,Lawyers,say,cant,find,parents,545,migrant,children,separated,Trump,administration,http,,,,,,,,,,
44,2020-10-20 23:59:55+00:00,,en,,,229418,225740,,"Melbourne, Victoria",1171814654,2013-02-12 12:23:54+00:00,False,False,,3,1919,False,,5000,True,💧🌱 🔥Tessa declares a climate emergency,,TessaTessapes,False,C0DEED,http://pbs.twimg.com/profile_images/958282228286472193/l_bh4CH6_normal.jpg,,1318703526785110017,0,False,Twitter for iPhone,False,1398,"['This', 'look', 'defeated', 'man', 'knows', 'blew', 'it']",This,look,defeated,man,knows,blew,it,,,,,,,,,,,,,,,,,
